date,block_time,tx_vol,tx_vol_issues_agg,tx_number,tx_fees,m_total,m_circ_wb,m_circ_mc_lifo,m_circ_mc_fifo,dormancy_1,sdd_1
09/05/04,2009-05-04,790000000000.0,0.0,129.0,0.0,65930000000000.0,150000000000,150000000000,150000000000,0.7037174156640715,552418171296.297
09/05/05,2009-05-05,725000000000.0,0.0,136.0,0.0,66570000000000.0,50000000000,50000000000,50000000000,0.14154549451686282,126683217592.59314
09/05/06,2009-05-06,675000000000.0,0.0,135.0,0.0,67245000000000.0,0,0,0,-3.608224830031759e-16,0.000579833984375
09/05/07,2009-05-07,610000000000.0,0.0,122.0,0.0,67920000000000.0,0,0,0,-3.608224830031759e-16,0.000579833984375
09/05/08,2009-05-08,535000000000.0,0.0,107.0,0.0,68530000000000.0,0,0,0,-3.608224830031759e-16,0.000579833984375
09/05/09,2009-05-09,390000000000.0,0.0,78.0,0.0,69065000000000.0,0,0,0,-3.608224830031759e-16,0.000579833984375
09/05/10,2009-05-10,425000000000.0,0.0,85.0,0.0,69455000000000.0,0,0,0,-3.608224830031759e-16,0.000579833984375
09/05/11,2009-05-11,610000000000.0,0.0,121.0,10000000.0,69880000000000.0,10000000000,10000000000,10000000000,0.03214956816059721,19128993055.556137
09/05/12,2009-05-12,650000000000.0,0.0,130.0,0.0,70480000000000.0,0,0,0,-3.608224830031759e-16,0.000579833984375
09/05/13,2009-05-13,570001000000.0,101000000.0,116.0,0.0,71130000000000.0,10000000000,9900000000,9900000000,0.07625277900483408,46859734953.704285
09/05/14,2009-05-14,714999000000.0,5000000000.0,142.0,0.0,71685000000000.0,15000000000,14999000000,14999000000,0.07301096085610422,44269155092.59317
09/05/15,2009-05-15,730000000000.0,0.0,137.0,0.0,72380000000000.0,50000000000,50000000000,50000000000,0.5485319035021413,403170949074.07465
09/05/16,2009-05-16,595000000000.0,0.0,119.0,0.0,73060000000000.0,0,0,0,-3.3306690738754696e-16,0.00054931640625
09/05/17,2009-05-17,635000000000.0,0.0,127.0,0.0,73655000000000.0,0,0,0,-3.3306690738754696e-16,0.00054931640625
09/05/18,2009-05-18,590000000000.0,0.0,118.0,0.0,74290000000000.0,0,0,0,-3.3306690738754696e-16,0.00054931640625
09/05/19,2009-05-19,430000000000.0,0.0,86.0,0.0,74880000000000.0,0,0,0,-3.3306690738754696e-16,0.00054931640625
09/05/20,2009-05-20,600000000000.0,0.0,120.0,0.0,75310000000000.0,0,0,0,-3.3306690738754696e-16,0.00054931640625
09/05/21,2009-05-21,410000000000.0,0.0,82.0,0.0,75910000000000.0,0,0,0,-3.3306690738754696e-16,0.00054931640625
09/05/22,2009-05-22,305000000000.0,0.0,61.0,0.0,76320000000000.0,0,0,0,-3.3306690738754696e-16,0.00054931640625
09/05/23,2009-05-23,160000000000.0,0.0,32.0,0.0,76625000000000.0,0,0,0,-3.3306690738754696e-16,0.00054931640625
09/05/24,2009-05-24,500000000000.0,0.0,100.0,0.0,76785000000000.0,0,0,0,-3.3306690738754696e-16,0.00054931640625
09/05/25,2009-05-25,545000000000.0,0.0,109.0,0.0,77285000000000.0,0,0,0,-3.3306690738754696e-16,0.00054931640625
09/05/26,2009-05-26,625000000000.0,0.0,125.0,0.0,77830000000000.0,0,0,0,-3.3306690738754696e-16,0.00054931640625
09/05/27,2009-05-27,595000000000.0,0.0,119.0,0.0,78455000000000.0,0,0,0,-3.3306690738754696e-16,0.00054931640625
09/05/28,2009-05-28,475000000000.0,0.0,95.0,0.0,79050000000000.0,0,0,0,-3.3306690738754696e-16,0.00054931640625
09/05/29,2009-05-29,830000000000.0,0.0,107.0,0.0,79525000000000.0,300000000000,300000000000,300000000000,3.3022816022544275,2658336689814.8154
09/05/30,2009-05-30,545000000000.0,0.0,109.0,0.0,80055000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/05/31,2009-05-31,480000000000.0,0.0,96.0,0.0,80600000000000.0,0,0,0,-4.440892098500626e-16,0.00048828125
09/06/01,2009-06-01,360000000000.0,1000000.0,72.0,0.0,81080000000000.0,5000000000,4999000000,4999000000,0.4333063669339438,210153587962.96347
